gate,position_m,velocity_boundary_mps,strict_obstruction_boundary_excluded
information_boxes,1970615631908730399850754083438248147633007215046536358/13278507618805796150318880280777540620792105939232852852525,5231845726968953244674185137015630645476364225862987373/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,1998370781653923785764144986021885445486993232159867856/13278507618805796150318880280777540620792105939232852852525,1262859313406299059059286067555497052356363778656583159/21597522252473830058930991128851638021453993698557767230900,False
information_boxes,2026125931399117171677535888605522743340979249273199354/13278507618805796150318880280777540620792105939232852852525,4871028780281439227800103403428345773374546003389677899/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,2053881081144310557590926791189160041194965266386530852/13278507618805796150318880280777540620792105939232852852525,2345310153468841109681531268317351668661818446076511581/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,83265449235580157740172707750911893561958051339994494/531140304752231846012755211231101624831684237569314114101,180408473343757008437040866793642436050909111236654737/3455603560395812809428958580616262083432638991769242756944,False
information_boxes,2109391380634697329417708596356434636902937300613193848/13278507618805796150318880280777540620792105939232852852525,541225420031271025311122600380927308152727333709964211/10798761126236915029465495564425819010726996849278883615450,False
information_boxes,2137146530379890715331099498940071934756923317726525346/13278507618805796150318880280777540620792105939232852852525,4149394886906411194051939936253776029170909558443058951/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,2164901680125084101244490401523709232610909334839856844/13278507618805796150318880280777540620792105939232852852525,1984493206781327092807449534730066796560000223603202107/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,2192656829870277487157881304107346530464895351953188342/13278507618805796150318880280777540620792105939232852852525,3788577940218897177177858202666491157069091335969749477/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,444082395923094174614254441338196765663776273813303968/2655701523761159230063776056155508124158421187846570570505,180408473343757008437040866793642436050909111236654737/4319504450494766011786198225770327604290798739711553446180,False
information_boxes,2248167129360664258984663109274621126172867386179851338/13278507618805796150318880280777540620792105939232852852525,3427760993531383160303776469079206284967273113496440003/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,2275922279105857644898054011858258424026853403293182836/13278507618805796150318880280777540620792105939232852852525,1623676260093813075933367801142781924458182001129892633/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,2303677428851051030811444914441895721880839420406514334/13278507618805796150318880280777540620792105939232852852525,3066944046843869143429694735491921412865454891023130529/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,2331432578596244416724835817025533019734825437519845832/13278507618805796150318880280777540620792105939232852852525,180408473343757008437040866793642436050909111236654737/5399380563118457514732747782212909505363498424639441807725,False
information_boxes,471837545668287560527645343921834063517762290926635466/2655701523761159230063776056155508124158421187846570570505,541225420031271025311122600380927308152727333709964211/17278017801979064047144792903081310417163194958846213784720,False
information_boxes,2386942878086631188551617622192807615442797471746508828/13278507618805796150318880280777540620792105939232852852525,1262859313406299059059286067555497052356363778656583159/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,2414698027831824574465008524776444913296783488859840326/13278507618805796150318880280777540620792105939232852852525,2345310153468841109681531268317351668661818446076511581/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,2442453177577017960378399427360082211150769505973171824/13278507618805796150318880280777540620792105939232852852525,541225420031271025311122600380927308152727333709964211/21597522252473830058930991128851638021453993698557767230900,False
information_boxes,2470208327322211346291790329943719509004755523086503322/13278507618805796150318880280777540620792105939232852852525,1984493206781327092807449534730066796560000223603202107/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,499592695413480946441036246505471361371748308039966964/2655701523761159230063776056155508124158421187846570570505,180408473343757008437040866793642436050909111236654737/8639008900989532023572396451540655208581597479423106892360,False
information_boxes,2525718626812598118118572135110994104712727557313166318/13278507618805796150318880280777540620792105939232852852525,1623676260093813075933367801142781924458182001129892633/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,111020598980773543653563610334549191415944068453325992/577326418208947658709516533946849592208352432140558819675,180408473343757008437040866793642436050909111236654737/10798761126236915029465495564425819010726996849278883615450,False
information_boxes,2581228926302984889945353940278268700420699591539829314/13278507618805796150318880280777540620792105939232852852525,1262859313406299059059286067555497052356363778656583159/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,2608984076048178275858744842861905998274685608653160812/13278507618805796150318880280777540620792105939232852852525,541225420031271025311122600380927308152727333709964211/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,527347845158674332354427149089108659225734325153298462/2655701523761159230063776056155508124158421187846570570505,180408473343757008437040866793642436050909111236654737/17278017801979064047144792903081310417163194958846213784720,False
information_boxes,2664494375538565047685526648029180593982657642879823808/13278507618805796150318880280777540620792105939232852852525,180408473343757008437040866793642436050909111236654737/21597522252473830058930991128851638021453993698557767230900,False
information_boxes,2692249525283758433598917550612817891836643659993155306/13278507618805796150318880280777540620792105939232852852525,541225420031271025311122600380927308152727333709964211/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,2720004675028951819512308453196455189690629677106486804/13278507618805796150318880280777540620792105939232852852525,180408473343757008437040866793642436050909111236654737/43195044504947660117861982257703276042907987397115534461800,False
information_boxes,2747759824774145205425699355780092487544615694219818302/13278507618805796150318880280777540620792105939232852852525,180408473343757008437040866793642436050909111236654737/86390089009895320235723964515406552085815974794231068923600,False
information_boxes,111020598980773543653563610334549191415944068453325992/531140304752231846012755211231101624831684237569314114101,0,False
