case,information,role,plant,arm,physical_status,hold,overrides,changed_commands,geometry_checks,geometry_rejections,numerical_rejections,first_exit_lower_s,first_exit_upper_s,min_separation_lower_m,min_separation_upper_m,sampled_minimum_m,control_effort_mps,decision_cpu_s,decision_wall_max_s,fault_packet_dispositions,ambiguous_intervals
hold_interior,ideal,ideal_main,nonlinear,original_gate,validated_containment,satisfied,0,0,300,0,0,,,29.999999999999982,30.0,29.99999999475607,7.620492522187342e-08,0.8676989999999734,0.04952325008343905,{},0
midpoint,ideal,ideal_main,hcw,controlled_in_band,validated_violation,satisfied,0,0,300,0,0,98.010986328125,98.01123046875,23.916210859582172,23.91669668234172,23.916833325822928,2.5229275202620673,1.4029190000000014,0.006889292038977146,{},1
midpoint,ideal,ideal_main,hcw,controlled_union,validated_violation,satisfied,45,0,300,45,0,98.010986328125,98.01123046875,23.916210859582172,23.91669668234172,23.916833325822928,2.5229275202620673,1.458833000000001,0.006841500056907535,{},1
midpoint,ideal,ideal_main,hcw,no_gate,validated_violation,satisfied,0,0,0,0,0,98.010986328125,98.01123046875,23.916210859582172,23.91669668234172,23.916833325822928,2.5229275202620673,0.0023849999999996374,4.245794843882322e-05,{},1
midpoint,ideal,ideal_main,hcw,original_gate,validated_violation,satisfied,0,0,300,0,0,98.010986328125,98.01123046875,23.916210859582172,23.91669668234172,23.916833325822928,2.5229275202620673,2.205988000000005,0.025685166008770466,{},1
midpoint,ideal,ideal_main,nonlinear,controlled_in_band,validated_violation,satisfied,0,0,300,0,0,98.010986328125,98.01123046875,23.9162109429375,23.916696766227417,23.916833410070485,2.522927553935416,1.382306000000002,0.006226790952496231,{},1
midpoint,ideal,ideal_main,nonlinear,controlled_union,validated_violation,satisfied,45,0,300,45,0,98.010986328125,98.01123046875,23.9162109429375,23.916696766227417,23.916833410070485,2.522927553935416,1.4449419999999948,0.006723084021359682,{},1
midpoint,ideal,ideal_main,nonlinear,no_gate,validated_violation,satisfied,0,0,0,0,0,98.010986328125,98.01123046875,23.9162109429375,23.916696766227417,23.916833410070485,2.522927553935416,0.003095000000000958,2.1249987185001373e-05,{},1
midpoint,ideal,ideal_main,nonlinear,original_gate,validated_violation,satisfied,0,0,300,0,0,98.010986328125,98.01123046875,23.9162109429375,23.916696766227417,23.916833410070485,2.522927553935416,2.187911,0.024838541983626783,{},1
offset_interior,ideal,ideal_main,hcw,controlled_in_band,validated_containment,satisfied,0,0,300,0,0,,,29.185250605355822,29.18533487159805,29.185334871588623,1.5642666132972878,1.3968299999999907,0.006333500030450523,{},1
offset_interior,ideal,ideal_main,hcw,controlled_union,validated_containment,satisfied,0,0,300,0,0,,,29.185250605355822,29.18533487159805,29.185334871588623,1.5642666132972878,1.451642999999983,0.005399874993599951,{},1
offset_interior,ideal,ideal_main,hcw,no_gate,validated_containment,satisfied,0,0,0,0,0,,,29.185250605355822,29.18533487159805,29.185334871588623,1.5642666132972878,0.0023159999999986525,2.462498378008604e-05,{},1
